aphiaid,animal_origin,stock,length,length_type,weight,life_stage,age,sex,animal_reference_id,animal_project_reference,datacenter_reference
158075,H,Central Valley Late-Fall,0.157,FORK,0.045,UNKNOWN,5.33,UNKNOWN,MACFL-14709,MACFL,nep
158075,H,Central Valley Late-Fall,0.163,FORK,0.0459,UNKNOWN,5.33,UNKNOWN,MACFL-14710,MACFL,nep
158075,H,Central Valley Late-Fall,0.169,FORK,0.0549,UNKNOWN,5.33,UNKNOWN,MACFL-14711,MACFL,nep
158075,H,Central Valley Late-Fall,0.166,FORK,0.0484,UNKNOWN,5.33,UNKNOWN,MACFL-14712,MACFL,nep
158075,H,Central Valley Late-Fall,0.152,FORK,0.0395,UNKNOWN,5.33,UNKNOWN,MACFL-14713,MACFL,nep
158075,H,Central Valley Late-Fall,0.16,FORK,0.052,UNKNOWN,5.33,UNKNOWN,MACFL-14714,MACFL,nep
158075,H,Central Valley Late-Fall,0.175,FORK,0.0673,UNKNOWN,5.33,UNKNOWN,MACFL-14715,MACFL,nep
158075,H,Central Valley Late-Fall,0.177,FORK,0.0603,UNKNOWN,5.33,UNKNOWN,MACFL-14716,MACFL,nep
158075,H,Central Valley Late-Fall,0.152,FORK,0.0387,UNKNOWN,5.33,UNKNOWN,MACFL-14717,MACFL,nep
158075,H,Central Valley Late-Fall,0.158,FORK,0.0429,UNKNOWN,5.33,UNKNOWN,MACFL-14718,MACFL,nep
158075,H,Central Valley Late-Fall,0.18,FORK,0.0656,UNKNOWN,5.33,UNKNOWN,MACFL-14719,MACFL,nep
158075,H,Central Valley Late-Fall,0.163,FORK,0.0498,UNKNOWN,5.33,UNKNOWN,MACFL-14720,MACFL,nep
158075,H,Central Valley Late-Fall,0.165,FORK,0.0471,UNKNOWN,5.33,UNKNOWN,MACFL-14721,MACFL,nep
158075,H,Central Valley Late-Fall,0.174,FORK,0.0593,UNKNOWN,5.33,UNKNOWN,MACFL-14722,MACFL,nep
158075,H,Central Valley Late-Fall,0.176,FORK,0.0614,UNKNOWN,5.33,UNKNOWN,MACFL-14723,MACFL,nep
158075,H,Central Valley Late-Fall,0.155,FORK,0.0424,UNKNOWN,5.33,UNKNOWN,MACFL-14724,MACFL,nep
158075,H,Central Valley Late-Fall,0.151,FORK,0.0376,UNKNOWN,5.33,UNKNOWN,MACFL-14725,MACFL,nep
158075,H,Central Valley Late-Fall,0.151,FORK,0.0375,UNKNOWN,5.33,UNKNOWN,MACFL-14726,MACFL,nep
158075,H,Central Valley Late-Fall,0.143,FORK,0.0304,UNKNOWN,5.33,UNKNOWN,MACFL-14727,MACFL,nep
158075,H,Central Valley Late-Fall,0.15,FORK,0.0374,UNKNOWN,5.33,UNKNOWN,MACFL-14728,MACFL,nep
158075,H,Central Valley Late-Fall,0.145,FORK,0.0341,UNKNOWN,5.33,UNKNOWN,MACFL-14729,MACFL,nep
158075,H,Central Valley Late-Fall,0.167,FORK,0.0559,UNKNOWN,5.33,UNKNOWN,MACFL-14730,MACFL,nep
158075,H,Central Valley Late-Fall,0.145,FORK,0.0375,UNKNOWN,5.33,UNKNOWN,MACFL-14731,MACFL,nep
158075,H,Central Valley Late-Fall,0.144,FORK,0.0327,UNKNOWN,5.33,UNKNOWN,MACFL-14732,MACFL,nep
158075,H,Central Valley Late-Fall,0.156,FORK,0.0436,UNKNOWN,5.33,UNKNOWN,MACFL-14733,MACFL,nep
158075,H,Central Valley Late-Fall,0.141,FORK,0.031,UNKNOWN,5.33,UNKNOWN,MACFL-14734,MACFL,nep
158075,H,Central Valley Late-Fall,0.172,FORK,0.0557,UNKNOWN,5.33,UNKNOWN,MACFL-14735,MACFL,nep
158075,H,Central Valley Late-Fall,0.149,FORK,0.0379,UNKNOWN,5.33,UNKNOWN,MACFL-14736,MACFL,nep
158075,H,Central Valley Late-Fall,0.153,FORK,0.0412,UNKNOWN,5.33,UNKNOWN,MACFL-14737,MACFL,nep
158075,H,Central Valley Late-Fall,0.143,FORK,0.0321,UNKNOWN,5.33,UNKNOWN,MACFL-14738,MACFL,nep
158075,H,Central Valley Late-Fall,0.151,FORK,0.0423,UNKNOWN,5.33,UNKNOWN,MACFL-14739,MACFL,nep
158075,H,Central Valley Late-Fall,0.178,FORK,0.0659,UNKNOWN,5.33,UNKNOWN,MACFL-14740,MACFL,nep
158075,H,Central Valley Late-Fall,0.178,FORK,0.0703,UNKNOWN,5.33,UNKNOWN,MACFL-14741,MACFL,nep
158075,H,Central Valley Late-Fall,0.168,FORK,0.0564,UNKNOWN,5.33,UNKNOWN,MACFL-14742,MACFL,nep
158075,H,Central Valley Late-Fall,0.145,FORK,0.0338,UNKNOWN,5.33,UNKNOWN,MACFL-14743,MACFL,nep
158075,H,Central Valley Late-Fall,0.146,FORK,0.0381,UNKNOWN,5.33,UNKNOWN,MACFL-14744,MACFL,nep
158075,H,Central Valley Late-Fall,0.169,FORK,0.0587,UNKNOWN,5.33,UNKNOWN,MACFL-14745,MACFL,nep
158075,H,Central Valley Late-Fall,0.159,FORK,0.0436,UNKNOWN,5.33,UNKNOWN,MACFL-14746,MACFL,nep
158075,H,Central Valley Late-Fall,0.16,FORK,0.0454,UNKNOWN,5.33,UNKNOWN,MACFL-14747,MACFL,nep
158075,H,Central Valley Late-Fall,0.157,FORK,0.0437,UNKNOWN,5.33,UNKNOWN,MACFL-14748,MACFL,nep
158075,H,Central Valley Late-Fall,0.15,FORK,0.0387,UNKNOWN,5.33,UNKNOWN,MACFL-14749,MACFL,nep
158075,H,Central Valley Late-Fall,0.174,FORK,0.0647,UNKNOWN,5.33,UNKNOWN,MACFL-14750,MACFL,nep
158075,H,Central Valley Late-Fall,0.15,FORK,0.0385,UNKNOWN,5.33,UNKNOWN,MACFL-14751,MACFL,nep
158075,H,Central Valley Late-Fall,0.145,FORK,0.0323,UNKNOWN,5.33,UNKNOWN,MACFL-14752,MACFL,nep
158075,H,Central Valley Late-Fall,0.14,FORK,0.031,UNKNOWN,5.33,UNKNOWN,MACFL-14753,MACFL,nep
158075,H,Central Valley Late-Fall,0.143,FORK,0.0312,UNKNOWN,5.33,UNKNOWN,MACFL-14754,MACFL,nep
158075,H,Central Valley Late-Fall,0.152,FORK,0.038,UNKNOWN,5.33,UNKNOWN,MACFL-14755,MACFL,nep
158075,H,Central Valley Late-Fall,0.161,FORK,0.0454,UNKNOWN,5.33,UNKNOWN,MACFL-14756,MACFL,nep
158075,H,Central Valley Late-Fall,0.143,FORK,0.0329,UNKNOWN,5.33,UNKNOWN,MACFL-14757,MACFL,nep
158075,H,Central Valley Late-Fall,0.163,FORK,0.0512,UNKNOWN,5.33,UNKNOWN,MACFL-14758,MACFL,nep
158075,H,Central Valley Late-Fall,0.17,FORK,0.0564,UNKNOWN,5.33,UNKNOWN,MACFL-14759,MACFL,nep
158075,H,Central Valley Late-Fall,0.154,FORK,0.0396,UNKNOWN,5.33,UNKNOWN,MACFL-14760,MACFL,nep
158075,H,Central Valley Late-Fall,0.16,FORK,0.0434,UNKNOWN,5.33,UNKNOWN,MACFL-14761,MACFL,nep
158075,H,Central Valley Late-Fall,0.16,FORK,0.0444,UNKNOWN,5.33,UNKNOWN,MACFL-14762,MACFL,nep
158075,H,Central Valley Late-Fall,0.155,FORK,0.0436,UNKNOWN,5.33,UNKNOWN,MACFL-14763,MACFL,nep
158075,H,Central Valley Late-Fall,0.164,FORK,0.0506,UNKNOWN,5.33,UNKNOWN,MACFL-14764,MACFL,nep
158075,H,Central Valley Late-Fall,0.143,FORK,0.0333,UNKNOWN,5.33,UNKNOWN,MACFL-14765,MACFL,nep
158075,H,Central Valley Late-Fall,0.148,FORK,0.0358,UNKNOWN,5.33,UNKNOWN,MACFL-14766,MACFL,nep
158075,H,Central Valley Late-Fall,0.149,FORK,0.0371,UNKNOWN,5.33,UNKNOWN,MACFL-14767,MACFL,nep
158075,H,Central Valley Late-Fall,0.147,FORK,0.0349,UNKNOWN,5.33,UNKNOWN,MACFL-14768,MACFL,nep
158075,H,Central Valley Late-Fall,0.15,FORK,0.0357,UNKNOWN,5.33,UNKNOWN,MACFL-14769,MACFL,nep
158075,H,Central Valley Late-Fall,0.16,FORK,0.0447,UNKNOWN,5.33,UNKNOWN,MACFL-14770,MACFL,nep
158075,H,Central Valley Late-Fall,0.153,FORK,0.042,UNKNOWN,5.33,UNKNOWN,MACFL-14771,MACFL,nep
158075,H,Central Valley Late-Fall,0.144,FORK,0.0317,UNKNOWN,5.33,UNKNOWN,MACFL-14772,MACFL,nep
158075,H,Central Valley Late-Fall,0.179,FORK,0.0563,UNKNOWN,5.33,UNKNOWN,MACFL-14773,MACFL,nep
158075,H,Central Valley Late-Fall,0.153,FORK,0.0367,UNKNOWN,5.33,UNKNOWN,MACFL-14774,MACFL,nep
158075,H,Central Valley Late-Fall,0.15,FORK,0.0356,UNKNOWN,5.33,UNKNOWN,MACFL-14775,MACFL,nep
158075,H,Central Valley Late-Fall,0.152,FORK,0.0413,UNKNOWN,5.33,UNKNOWN,MACFL-14776,MACFL,nep
158075,H,Central Valley Late-Fall,0.155,FORK,0.0437,UNKNOWN,5.33,UNKNOWN,MACFL-14777,MACFL,nep
158075,H,Central Valley Late-Fall,0.15,FORK,0.0384,UNKNOWN,5.33,UNKNOWN,MACFL-14778,MACFL,nep
158075,H,Central Valley Late-Fall,0.141,FORK,0.0319,UNKNOWN,5.33,UNKNOWN,MACFL-14779,MACFL,nep
158075,H,Central Valley Late-Fall,0.143,FORK,0.031,UNKNOWN,5.33,UNKNOWN,MACFL-14780,MACFL,nep
158075,H,Central Valley Late-Fall,0.168,FORK,0.0549,UNKNOWN,5.33,UNKNOWN,MACFL-14781,MACFL,nep
158075,H,Central Valley Late-Fall,0.144,FORK,0.0351,UNKNOWN,5.33,UNKNOWN,MACFL-14782,MACFL,nep
158075,H,Central Valley Late-Fall,0.152,FORK,0.0391,UNKNOWN,5.33,UNKNOWN,MACFL-14783,MACFL,nep
158075,H,Central Valley Late-Fall,0.166,FORK,0.0515,UNKNOWN,5.33,UNKNOWN,MACFL-14784,MACFL,nep
158075,H,Central Valley Late-Fall,0.151,FORK,0.0386,UNKNOWN,5.33,UNKNOWN,MACFL-14785,MACFL,nep
158075,H,Central Valley Late-Fall,0.143,FORK,0.0388,UNKNOWN,5.33,UNKNOWN,MACFL-14786,MACFL,nep
158075,H,Central Valley Late-Fall,0.141,FORK,0.0331,UNKNOWN,5.33,UNKNOWN,MACFL-14787,MACFL,nep
158075,H,Central Valley Late-Fall,0.161,FORK,0.0498,UNKNOWN,5.33,UNKNOWN,MACFL-14788,MACFL,nep
158075,H,Central Valley Late-Fall,0.152,FORK,0.0391,UNKNOWN,5.33,UNKNOWN,MACFL-14789,MACFL,nep
158075,H,Central Valley Late-Fall,0.151,FORK,0.0377,UNKNOWN,5.33,UNKNOWN,MACFL-14790,MACFL,nep
158075,H,Central Valley Late-Fall,0.14,FORK,0.0317,UNKNOWN,5.33,UNKNOWN,MACFL-14791,MACFL,nep
158075,H,Central Valley Late-Fall,0.162,FORK,0.0503,UNKNOWN,5.33,UNKNOWN,MACFL-14792,MACFL,nep
158075,H,Central Valley Late-Fall,0.162,FORK,0.0426,UNKNOWN,5.33,UNKNOWN,MACFL-14793,MACFL,nep
158075,H,Central Valley Late-Fall,0.14,FORK,0.0313,UNKNOWN,5.33,UNKNOWN,MACFL-14794,MACFL,nep
158075,H,Central Valley Late-Fall,0.153,FORK,0.0398,UNKNOWN,5.33,UNKNOWN,MACFL-14795,MACFL,nep
158075,H,Central Valley Late-Fall,0.15,FORK,0.0385,UNKNOWN,5.33,UNKNOWN,MACFL-14796,MACFL,nep
158075,H,Central Valley Late-Fall,0.177,FORK,0.0647,UNKNOWN,5.33,UNKNOWN,MACFL-14797,MACFL,nep
158075,H,Central Valley Late-Fall,0.163,FORK,0.044,UNKNOWN,5.33,UNKNOWN,MACFL-14798,MACFL,nep
158075,H,Central Valley Late-Fall,0.145,FORK,0.0333,UNKNOWN,5.33,UNKNOWN,MACFL-14799,MACFL,nep
158075,H,Central Valley Late-Fall,0.15,FORK,0.0346,UNKNOWN,5.33,UNKNOWN,MACFL-14800,MACFL,nep
158075,H,Central Valley Late-Fall,0.145,FORK,0.0342,UNKNOWN,5.33,UNKNOWN,MACFL-14801,MACFL,nep
158075,H,Central Valley Late-Fall,0.143,FORK,0.033,UNKNOWN,5.33,UNKNOWN,MACFL-14802,MACFL,nep
158075,H,Central Valley Late-Fall,0.141,FORK,0.0328,UNKNOWN,5.33,UNKNOWN,MACFL-14803,MACFL,nep
158075,H,Central Valley Late-Fall,0.154,FORK,0.0388,UNKNOWN,5.33,UNKNOWN,MACFL-14804,MACFL,nep
158075,H,Central Valley Late-Fall,0.142,FORK,0.0321,UNKNOWN,5.33,UNKNOWN,MACFL-14805,MACFL,nep
158075,H,Central Valley Late-Fall,0.152,FORK,0.0391,UNKNOWN,5.33,UNKNOWN,MACFL-14806,MACFL,nep
158075,H,Central Valley Late-Fall,0.144,FORK,0.0319,UNKNOWN,5.33,UNKNOWN,MACFL-14807,MACFL,nep
158075,H,Central Valley Late-Fall,0.163,FORK,0.0483,UNKNOWN,5.33,UNKNOWN,MACFL-14808,MACFL,nep
158075,H,Central Valley Late-Fall,0.171,FORK,0.0575,UNKNOWN,5.33,UNKNOWN,MACFL-14809,MACFL,nep
158075,H,Central Valley Late-Fall,0.161,FORK,0.0452,UNKNOWN,5.33,UNKNOWN,MACFL-14810,MACFL,nep
