release_reference_id,release_reference_type,latitude (degrees_north),longitude (degrees_east),time (UTC),expected_enddate (UTC),manufacturer,tag_model,tag_serial_number,tag_coding_system,transmitted_id,transmittername,release_project_reference,tag_device_id,datacenter_reference
WRS-36869,ANIMAL,44.95369,-62.61061,2010-04-26T18:00:00Z,2010-09-30T18:00:00Z,VEMCO,V9-1L,1092111,A69-1303,36869,A69-1303-36869,WRS,A69-1303-36869,OTN-Global
WRS-36868,ANIMAL,44.95369,-62.61061,2010-04-26T18:00:00Z,2010-09-30T18:00:00Z,VEMCO,V9-1L,1092110,A69-1303,36868,A69-1303-36868,WRS,A69-1303-36868,OTN-Global
WRS-36867,ANIMAL,44.95369,-62.61061,2010-04-26T18:00:00Z,2010-09-30T18:00:00Z,VEMCO,V9-1L,1092109,A69-1303,36867,A69-1303-36867,WRS,A69-1303-36867,OTN-Global
WRS-36866,ANIMAL,44.95369,-62.61061,2010-04-26T18:00:00Z,2010-09-30T18:00:00Z,VEMCO,V9-1L,1092108,A69-1303,36866,A69-1303-36866,WRS,A69-1303-36866,OTN-Global
WRS-36865,ANIMAL,44.95369,-62.61061,2010-04-26T18:00:00Z,2010-09-30T18:00:00Z,VEMCO,V9-1L,1092107,A69-1303,36865,A69-1303-36865,WRS,A69-1303-36865,OTN-Global
WRS-36864,ANIMAL,44.95369,-62.61061,2010-04-26T18:00:00Z,2010-09-30T18:00:00Z,VEMCO,V9-1L,1092106,A69-1303,36864,A69-1303-36864,WRS,A69-1303-36864,OTN-Global
WRS-36863,ANIMAL,44.95369,-62.61061,2010-04-26T18:00:00Z,2010-09-30T18:00:00Z,VEMCO,V9-1L,1092105,A69-1303,36863,A69-1303-36863,WRS,A69-1303-36863,OTN-Global
WRS-36862,ANIMAL,44.95369,-62.61061,2010-04-26T18:00:00Z,2010-09-30T18:00:00Z,VEMCO,V9-1L,1092104,A69-1303,36862,A69-1303-36862,WRS,A69-1303-36862,OTN-Global
WRS-36861,ANIMAL,44.95369,-62.61061,2010-04-26T18:00:00Z,2010-09-30T18:00:00Z,VEMCO,V9-1L,1092103,A69-1303,36861,A69-1303-36861,WRS,A69-1303-36861,OTN-Global
WRS-36740,ANIMAL,44.53123,-64.69637,2010-04-22T18:00:00Z,2010-09-26T18:00:00Z,VEMCO,V9-1L,1091883,A69-1303,36740,A69-1303-36740,WRS,A69-1303-36740,OTN-Global
WRS-36739,ANIMAL,44.53123,-64.69637,2010-04-22T18:00:00Z,2010-09-26T18:00:00Z,VEMCO,V9-1L,1091882,A69-1303,36739,A69-1303-36739,WRS,A69-1303-36739,OTN-Global
WRS-36738,ANIMAL,44.53123,-64.69637,2010-04-22T18:00:00Z,2010-09-26T18:00:00Z,VEMCO,V9-1L,1091881,A69-1303,36738,A69-1303-36738,WRS,A69-1303-36738,OTN-Global
