deployment_id,receiver_reference_type,receiver_serial_number,receiver_manufacturer,latitude (degrees_north),longitude (degrees_east),time(UTC),recovery_datetime_utc (UTC),bottom_depth (m),depth (m),deployment_comments,deployment_project_reference,receiver_model,receiver_reference_id,datacenter_reference
ASF-Rest 2-VR2W-111250-2013,ManmadePlatform,111250,VEMCO,48.00502,-66.69812,2013-04-29T21:54:20Z,2013-09-10T19:44:00Z,2.1,1,UNKNOWN,ASF,VR2W,ASF_ASF-Rest 2,OTN-Global
ASF-Rest 2-Minilogger-5800J-2013,ManmadePlatform,Minilogger-5800J,VEMCO,48.00502,-66.69812,2013-04-29T21:54:20Z,2013-09-10T19:44:00Z,2.1,0.5,UNKNOWN,ASF,MiniLogger,ASF_ASF-Rest 2,OTN-Global
ASF-Rest 3-VR2W-113161-2013,ManmadePlatform,113161,VEMCO,48.00667,-66.69842,2013-04-29T21:50:00Z,2013-09-10T19:52:00Z,2.7,1,UNKNOWN,ASF,VR2W,ASF_ASF-Rest 3,OTN-Global
ASF-Rest Bridge 1-VR2W-120020-2013,ManmadePlatform,120020,VEMCO,48.01045,-66.67553,2013-04-29T21:38:00Z,2013-09-10T20:12:00Z,6.1,2,UNKNOWN,ASF,VR2W,ASF_ASF-Rest Bridge 1,OTN-Global
ASF-Rest Bridge 2-VR2W-120021-2013,ManmadePlatform,120021,VEMCO,48.01168,-66.67657,2013-04-29T21:40:00Z,2013-09-10T20:24:00Z,5.5,2,UNKNOWN,ASF,VR2W,ASF_ASF-Rest Bridge 2,OTN-Global
ASF-Rest Bridge 3-VR2W-120022-2013,ManmadePlatform,120022,VEMCO,48.01318,-66.67787,2013-04-29T21:43:00Z,2013-09-10T21:35:00Z,3.7,1.5,UNKNOWN,ASF,VR2W,ASF_ASF-Rest Bridge 3,OTN-Global
ASF-Dal 1-VR2W-120011-2013,ManmadePlatform,120011,VEMCO,48.06417,-66.34625,2013-04-24T15:30:00Z,2013-09-10T23:24:00Z,10,6,UNKNOWN,ASF,VR2W,ASF_ASF-Dal 1,OTN-Global
ASF-Dal 2-VR2W-120001-2013,ManmadePlatform,120001,VEMCO,48.06949,-66.33878,2013-04-24T15:52:00Z,2013-09-10T23:34:00Z,20,15,UNKNOWN,ASF,VR2W,ASF_ASF-Dal 2,OTN-Global
ASF-Dal 3-VR2W-120016-2013,ManmadePlatform,120016,VEMCO,48.07437,-66.33145,2013-04-24T15:42:00Z,2013-09-10T23:45:00Z,9,5,UNKNOWN,ASF,VR2W,ASF_ASF-Dal 3,OTN-Global
ASF-Pt a la Garde-VR2W-120010-2013,ManmadePlatform,120010,VEMCO,48.05157,-66.53998,2013-04-24T16:53:00Z,2013-09-10T20:09:00Z,9,74.7,UNKNOWN,ASF,VR2W,ASF_ASF-Pt a la Garde,OTN-Global
