platform_reference_id	platform_project_reference	platform_type	platform_depth	latitude(degree_north)	longitude(degree_east)	datacenter_reference
ASF-Outer Arc 8-2010	ASF	Underwater mooring	135.3	50.27039	-64.35453	OTN-Global
ASF-Outer Arc 7-2010	ASF	Underwater mooring	135.3	50.26579	-64.34414	OTN-Global
ASF-Outer Arc 6-2010	ASF	Underwater mooring	135.3	50.26382	-64.3313	OTN-Global
ASF-Deforest-2010	ASF	Underwater mooring	135.3	50.3395	-64.24783	OTN-Global
ASF-Deforest-2011	ASF	Underwater mooring	135.3	50.339	-64.24817	OTN-Global
ASF-Anticosti Island 2	ASF	Underwater mooring	135.3	49.89673	-64.54998	OTN-Global
ASF-Anticosti Island 1	ASF	Underwater mooring	135.3	49.89227	-64.5363	OTN-Global
ASF-Anticosti Island 4	ASF	Underwater mooring	135.3	49.90455	-64.57548	OTN-Global
ASF-Anticosti Island 5	ASF	Underwater mooring	135.3	49.90867	-64.58682	OTN-Global
ASF-Casc Estuary 1	ASF	Underwater mooring	135.3	48.18895	-65.90343	OTN-Global
ASF-Casc Estuary 2	ASF	Underwater mooring	135.3	48.20888	-65.90379	OTN-Global
Eel Ground-2016	ASF	Underwater mooring	6	46.9603	-65.6215	OTN-Global
CB5-2015	ASF	Underwater mooring	48.768	47.8428533	-65.2334017	OTN-Global
CB6-2015	ASF	Underwater mooring	57.912	47.8493508	-65.2394307	OTN-Global
CB7-2015	ASF	Underwater mooring	67.056	47.8556033	-65.2451833	OTN-Global
CB8-2015	ASF	Underwater mooring	70.104	47.8621117	-65.2510683	OTN-Global
CB9-2015	ASF	Underwater mooring	65.532	47.8684867	-65.2569633	OTN-Global
Chatham-2015	ASF	Underwater mooring	6.3	47.021017	-65.495717	OTN-Global
DAL 1-2015	ASF	Underwater mooring	10	48.064167	-66.34625	OTN-Global
DAL 2-2015	ASF	Underwater mooring	20	48.069494	-66.338775	OTN-Global
DAL 3-2015	ASF	Underwater mooring	9	48.074367	-66.33145	OTN-Global
DALJ 1-2015	ASF	Underwater mooring	9	48.04458	-66.53629	OTN-Global
DALJ 2-2015	ASF	Underwater mooring	9	48.05157	-66.53998	OTN-Global
Eel Ground-2015	ASF	Underwater mooring	6	46.9602	-65.62155	OTN-Global
Enclosure-2015	ASF	Underwater mooring	6	46.9595	-65.5846	OTN-Global
French Fort Cove-2015	ASF	Underwater mooring	7.5	47.0149	-65.543333	OTN-Global
Hacketts Beach-2015	ASF	Underwater mooring	7	46.957567	-65.672917	OTN-Global
Huckleberry 1-2015	ASF	Underwater mooring	1	47.077183	-64.953417	OTN-Global
Huckleberry 2-2015	ASF	Underwater mooring	1	47.077667	-64.951117	OTN-Global
Johnson Bridge-2015	ASF	Underwater mooring	135.3	46.96335	-65.82644	OTN-Global
Kingston Lane-2015	ASF	Underwater mooring	135.3	47.0828	-65.82644	OTN-Global
Loggieville-2015	ASF	Underwater mooring	9.5	47.077583	-65.392683	OTN-Global
Mann Mountain Settlement-2015	ASF	Underwater mooring	135.3	47.962017	-66.94365	OTN-Global
Middle Island-2015	ASF	Underwater mooring	10	47.055067	-65.456983	OTN-Global
Millerton-2015	ASF	Underwater mooring	4	46.881517	-65.6588	OTN-Global
Millstream-2015	ASF	Underwater mooring	4.3	46.964833	-65.709583	OTN-Global
Neguac 2-2015	ASF	Underwater mooring	3	47.20625	-65.038133	OTN-Global
Neguac 3-2015	ASF	Underwater mooring	2	47.205883	-65.046267	OTN-Global
Nelson-2015	ASF	Underwater mooring	4.1	46.98775	-65.55915	OTN-Global
N. Portage 1-2015	ASF	Underwater mooring	10	47.147483	-65.055717	OTN-Global
N. Portage 2-2015	ASF	Underwater mooring	11	47.14785	-65.04855	OTN-Global
N. Portage 3-2015	ASF	Underwater mooring	13	47.148	-65.0415	OTN-Global
Parks Landing-2015	ASF	Underwater mooring	5	46.93221	-65.79787	OTN-Global
Quarryville-2015	ASF	Underwater mooring	135.3	46.829933	-65.783867	OTN-Global
Red Bank-2015	ASF	Underwater mooring	5	46.94094	-65.81902	OTN-Global
REST 4-2015	ASF	Underwater mooring	6.096	48.01045	-66.675533	OTN-Global
JDF011	JDF	Underwater mooring	172	48.31968	-123.99303	nep
REST 5-2015	ASF	Underwater mooring	5.4864	48.011683	-66.676567	OTN-Global
REST 6-2015	ASF	Underwater mooring	3.6576	48.013183	-66.677867	OTN-Global
SOBI 10-2015	ASF	Underwater mooring	81.4	51.4187183	-56.69033	OTN-Global
SOBI 11-2015	ASF	Underwater mooring	66.4	51.4238117	-56.69896	OTN-Global
SOBI 1-2015	ASF	Underwater mooring	1.8	51.3770433	-56.6155133	OTN-Global
SOBI 12-2015	ASF	Underwater mooring	65.5	51.4287967	-56.7070217	OTN-Global
SOBI 13-2015	ASF	Underwater mooring	60.7	51.433725	-56.7153817	OTN-Global
SOBI 14-2015	ASF	Underwater mooring	65.5	51.4373233	-56.7256	OTN-Global
SOBI 15-2015	ASF	Underwater mooring	62.8	51.44216	-56.733925	OTN-Global
SOBI 16-2015	ASF	Underwater mooring	56.7	51.4472367	-56.7413967	OTN-Global
ASF-ST Portage 1	ASF	Underwater mooring	135.3	47.1447	-65.0473	OTN-Global
ASF-ST Portage 3	ASF	Underwater mooring	135.3	47.1472	-65.048	OTN-Global
ASF-S. Portage 3	ASF	Underwater mooring	135.3	47.1414	-65.0392	OTN-Global
SOBI 17-2015	ASF	Underwater mooring	52.7	51.451945	-56.750305	OTN-Global
SOBI 18-2015	ASF	Underwater mooring	62.2	51.4560133	-56.7583933	OTN-Global
SOBI 19-2015	ASF	Underwater mooring	70.7	51.46136	-56.7676517	OTN-Global
SOBI 20-2015	ASF	Underwater mooring	89.6	51.4650983	-56.7760467	OTN-Global
SOBI 2-2015	ASF	Underwater mooring	2.6	51.3819383	-56.6234033	OTN-Global
SOBI 23-2015	ASF	Underwater mooring	105.5	51.47486	-56.7921583	OTN-Global
SOBI 25-2015	ASF	Underwater mooring	106.7	51.4797067	-56.80137	OTN-Global
SOBI 26-2015	ASF	Underwater mooring	80.5	51.4839933	-56.809275	OTN-Global
SOBI 3-2015	ASF	Underwater mooring	2.1	51.3869633	-56.6315917	OTN-Global
SOBI 4-2015	ASF	Underwater mooring	73.8	51.3905583	-56.640545	OTN-Global
SOBI 5-2015	ASF	Underwater mooring	66.4	51.3959233	-56.648335	OTN-Global
SOBI 6-2015	ASF	Underwater mooring	79.2	51.40052	-56.6571967	OTN-Global
SOBI 7-2015	ASF	Underwater mooring	79.2	51.4052483	-56.6643083	OTN-Global
SOBI 8-2015	ASF	Underwater mooring	86.6	51.4095867	-56.673195	OTN-Global
SOBI 9-2015	ASF	Underwater mooring	79.9	51.41446	-56.68113	OTN-Global
SOBI N 10-2015	ASF	Underwater mooring	70	51.43187024	-56.64607784	OTN-Global
SOBI N 11-2015	ASF	Underwater mooring	60	51.43663746	-56.65394569	OTN-Global
SOBI N 1-2015	ASF	Underwater mooring	5	51.3895145	-56.57799783	OTN-Global
SOBI N 12-2015	ASF	Underwater mooring	65	51.44152185	-56.66184693	OTN-Global
SOBI N 13-2015	ASF	Underwater mooring	62	51.44651147	-56.66968645	OTN-Global
SOBI N 14-2015	ASF	Underwater mooring	60	51.45146042	-56.67762838	OTN-Global
SOBI N 15-2015	ASF	Underwater mooring	50	51.45634992	-56.68564416	OTN-Global
SOBI N 16-2015	ASF	Underwater mooring	50	51.46129842	-56.69354676	OTN-Global
SOBI N 17-2015	ASF	Underwater mooring	60	51.4662161	-56.70152768	OTN-Global
SOBI N 18-2015	ASF	Underwater mooring	55	51.47119336	-56.70959692	OTN-Global
SOBI N 19-2015	ASF	Underwater mooring	60	51.47616376	-56.71749844	OTN-Global
SOBI N 20-2015	ASF	Underwater mooring	65	51.481035	-56.72549878	OTN-Global
SOBI N 21-2015	ASF	Underwater mooring	85	51.48601574	-56.733382	OTN-Global
SOBI N 2-2015	ASF	Underwater mooring	7	51.39194677	-56.58241907	OTN-Global
SOBI N 22-2015	ASF	Underwater mooring	95	51.49094173	-56.74134991	OTN-Global
SOBI N 23-2015	ASF	Underwater mooring	100	51.49582445	-56.74934045	OTN-Global
SOBI N 24-2015	ASF	Underwater mooring	100	51.50066989	-56.75710619	OTN-Global
SOBI N 25-2015	ASF	Underwater mooring	90	51.50561736	-56.7651693	OTN-Global
SOBI N 26-2015	ASF	Underwater mooring	40	51.51052594	-56.77326819	OTN-Global
SOBI N 27-2015	ASF	Underwater mooring	45	51.51559732	-56.78141182	OTN-Global
SOBI N 28-2015	ASF	Underwater mooring	40	51.51896846	-56.78683538	OTN-Global
SOBI N 3-2015	ASF	Underwater mooring	12	51.39713259	-56.59038946	OTN-Global
SOBI N 4-2015	ASF	Underwater mooring	50	51.4020935	-56.59843475	OTN-Global
SOBI N 5-2015	ASF	Underwater mooring	62	51.40712793	-56.60642523	OTN-Global
SOBI N 6-2015	ASF	Underwater mooring	65	51.41218485	-56.61445552	OTN-Global
SOBI N 7-2015	ASF	Underwater mooring	65	51.41693747	-56.62249209	OTN-Global
SOBI N 8-2015	ASF	Underwater mooring	70	51.42200989	-56.63024044	OTN-Global
SOBI N 9-2015	ASF	Underwater mooring	70	51.42699366	-56.63817228	OTN-Global
S. Portage 11-2015	ASF	Underwater mooring	5	47.13637	-65.05188	OTN-Global
S. Portage 1-2015	ASF	Underwater mooring	6	47.141433	-65.053233	OTN-Global
S. Portage 2-2015	ASF	Underwater mooring	9	47.14215	-65.04465	OTN-Global
S. Portage 3-2015	ASF	Underwater mooring	11	47.1414	-65.0392	OTN-Global
SW Mir 1-2015	ASF	Underwater mooring	135.3	46.47446	-66.40185	OTN-Global
SW Mir 2-2015	ASF	Underwater mooring	135.3	46.54781	-66.15697	OTN-Global
SW Mir 3 Black Brook-2015	ASF	Underwater mooring	135.3	46.670442	-65.775455	OTN-Global
ASF-Chaleur Bay 1-2004	ASF	Underwater mooring	135.3	47.824	-65.1825	OTN-Global
ASF-Cassilis 1-2003	ASF	Underwater mooring	135.3	46.7667	-66.0833	OTN-Global
SBX006	ASF	Underwater mooring	135.3	51.39995	-56.65771	OTN-Global
ASF-Cassilis 2-2003	ASF	Underwater mooring	135.3	46.7667	-66.0833	OTN-Global
ASF-Cassilis 3-2003	ASF	Underwater mooring	135.3	46.7667	-66.0833	OTN-Global
SBX007	ASF	Underwater mooring	135.3	51.40462	-56.66613	OTN-Global
ASF-Cassilis 4-2003	ASF	Underwater mooring	135.3	46.7667	-66.0833	OTN-Global
SOBI002	ASF	Underwater mooring	135.3	51.38194	-56.62358	OTN-Global
SOBI001	ASF	Underwater mooring	135.3	51.37792	-56.60967	OTN-Global
SOBI003	ASF	Underwater mooring	135.3	51.38608	-56.63622	OTN-Global
SOBI004	ASF	Underwater mooring	135.3	51.39072	-56.64817	OTN-Global
SOBI005	ASF	Underwater mooring	135.3	51.39614	-56.65983	OTN-Global
SOBI006	ASF	Underwater mooring	135.3	51.40233	-56.66989	OTN-Global
SOBI007	ASF	Underwater mooring	135.3	51.40878	-56.67975	OTN-Global
SOBI008	ASF	Underwater mooring	135.3	51.41467	-56.69031	OTN-Global
SOBI009	ASF	Underwater mooring	135.3	51.42136	-56.6995	OTN-Global
SOBI010	ASF	Underwater mooring	135.3	51.42853	-56.70939	OTN-Global
SOBI011	ASF	Underwater mooring	135.3	51.43569	-56.71814	OTN-Global
SOBI012	ASF	Underwater mooring	135.3	51.44275	-56.728	OTN-Global
SOBI013	ASF	Underwater mooring	135.3	51.45033	-56.73633	OTN-Global
SOBI014	ASF	Underwater mooring	135.3	51.45733	-56.74561	OTN-Global
SOBI015	ASF	Underwater mooring	135.3	51.46494	-56.75386	OTN-Global
SOBI016	ASF	Underwater mooring	135.3	51.47219	-56.76217	OTN-Global
SOBI017	ASF	Underwater mooring	135.3	51.47878	-56.77156	OTN-Global
SOBI018	ASF	Underwater mooring	135.3	51.48375	-56.78253	OTN-Global
SOBI019	ASF	Underwater mooring	135.3	51.48861	-56.79361	OTN-Global
SOBI020	ASF	Underwater mooring	135.3	51.48747	-56.80161	OTN-Global
SOBI021	ASF	Underwater mooring	135.3	51.49064	-56.80906	OTN-Global
SOBI022	ASF	Underwater mooring	135.3	51.48936	-56.81408	OTN-Global
SBX-WHARF	ASF	Underwater mooring	2	51.3843	-56.57963	OTN-Global
SBX019	ASF	Underwater mooring	135.3	51.46063	-56.76723	OTN-Global
SBX020	ASF	Underwater mooring	135.3	51.46529	-56.77566	OTN-Global
SBX001	ASF	Underwater mooring	135.3	51.37662	-56.61558	OTN-Global
SBX025	ASF	Underwater mooring	135.3	51.47929	-56.80093	OTN-Global
SBX026	ASF	Underwater mooring	135.3	51.48396	-56.80936	OTN-Global
SBX002	ASF	Underwater mooring	135.3	51.38129	-56.62401	OTN-Global
SBX003	ASF	Underwater mooring	135.3	51.38595	-56.63243	OTN-Global
SBX004	ASF	Underwater mooring	135.3	51.39062	-56.64086	OTN-Global
SBX005	ASF	Underwater mooring	135.3	51.39529	-56.64928	OTN-Global
SBX008	ASF	Underwater mooring	135.3	51.40929	-56.67456	OTN-Global
SBX009	ASF	Underwater mooring	135.3	51.41396	-56.68298	OTN-Global
SBX010	ASF	Underwater mooring	135.3	51.41862	-56.69141	OTN-Global
SBX011	ASF	Underwater mooring	135.3	51.42329	-56.69983	OTN-Global
SBX-ST100	ASF	Underwater mooring	135.3	51.3843	-56.5796	OTN-Global
SBX-ST034	ASF	Underwater mooring	135.3	51.4822	-56.8062	OTN-Global
SBX-PODNL	ASF	Underwater mooring	105	51.3705	-56.7461	OTN-Global
SBX012	ASF	Underwater mooring	135.3	51.42796	-56.70826	OTN-Global
SBX013	ASF	Underwater mooring	135.3	51.43262	-56.71668	OTN-Global
SBX014	ASF	Underwater mooring	135.3	51.43729	-56.72511	OTN-Global
SBX015	ASF	Underwater mooring	135.3	51.44196	-56.73353	OTN-Global
SBX016	ASF	Underwater mooring	135.3	51.44662	-56.74196	OTN-Global
SBX-ST027	ASF	Underwater mooring	135.3	51.3936	-56.646	OTN-Global
SBX024	ASF	Underwater mooring	116.7	51.47649	-56.79588	OTN-Global
SBX021	ASF	Underwater mooring	105.2	51.46809	-56.78071	OTN-Global
SBX-ST028	ASF	Underwater mooring	135.3	51.4262	-56.7051	OTN-Global
SBX-ST033	ASF	Underwater mooring	135.3	51.4667	-56.7782	OTN-Global
SBX022	ASF	Underwater mooring	106.1	51.47089	-56.78577	OTN-Global
SBX017	ASF	Underwater mooring	135.3	51.45129	-56.75038	OTN-Global
SBX018	ASF	Underwater mooring	135.3	51.45596	-56.75881	OTN-Global
SBX023	ASF	Underwater mooring	105.5	51.47369	-56.79082	OTN-Global
SBX-ST029	ASF	Underwater mooring	135.3	51.4536	-56.7546	OTN-Global
SBX-ST030	ASF	Underwater mooring	135.3	51.4542	-56.7557	OTN-Global
SBX-ST032	ASF	Underwater mooring	135.3	51.4554	-56.7578	OTN-Global
SBX-ST031	ASF	Underwater mooring	135.3	51.4548	-56.7567	OTN-Global
SBX-PODLB	ASF	Underwater mooring	105	51.4591	-56.8179	OTN-Global
ASF-Cassilis  (most downstream)-2004	ASF	Underwater mooring	135.3	46.9369	-65.7804	OTN-Global
ASF-Cassilis  (most upstream)-2004	ASF	Underwater mooring	135.3	46.9354	-65.7827	OTN-Global
ASF-Catamaran Brook 1-2003	ASF	Underwater mooring	135.3	46.7667	-67.1	OTN-Global
ASF-Catamaran Brook 2-2003	ASF	Underwater mooring	135.3	46.7667	-66.0833	OTN-Global
Enclosure-2016	ASF	Underwater mooring	6	46.9593	-65.5843	OTN-Global
PODLB	ASF	Underwater mooring	105	51.4591	-56.8179	OTN-Global
PODNL	ASF	Underwater mooring	105	51.3705	-56.7461	OTN-Global
ASF-2 MILE POOL PAT. RIVER	ASF	Underwater mooring	135.3	43.03	-66.36	OTN-Global
ASF-HOT pool	ASF	Underwater mooring	135.3	43.03	-66.36	OTN-Global
Barnaby Isl.-2016	ASF	Underwater mooring	4	46.9109	-65.6218	OTN-Global
BLW Little Sevogle-2016	ASF	Underwater mooring	135.3	47.0126	-65.8374	OTN-Global
Casc 1-2016	ASF	Underwater mooring	4	48.2084	-65.9053	OTN-Global
Casc 2-2016	ASF	Underwater mooring	3	48.1903	-65.9046	OTN-Global
Cassilis-2016	ASF	Underwater mooring	2	46.935	-65.7831	OTN-Global
Cassilis B-2016	ASF	Underwater mooring	2	46.935	-65.7831	OTN-Global
CB10-2016	ASF	Underwater mooring	76.2	47.875	-65.2629	OTN-Global
CB11-2016	ASF	Underwater mooring	73.152	47.8812	-65.269	OTN-Global
CB1-2016	ASF	Underwater mooring	7.9248	47.8172	-65.2099	OTN-Global
CB12-2016	ASF	Underwater mooring	71.628	47.8878	-65.2748	OTN-Global
CB13-2016	ASF	Underwater mooring	73.152	47.8941	-65.2807	OTN-Global
CB14-2016	ASF	Underwater mooring	73.152	47.9007	-65.2867	OTN-Global
CB15-2016	ASF	Underwater mooring	73.152	47.9071	-65.2926	OTN-Global
CB16-2016	ASF	Underwater mooring	73.152	47.9134	-65.2984	OTN-Global
CB17-2016	ASF	Underwater mooring	73.152	47.9199	-65.304	OTN-Global
CB18-2016	ASF	Underwater mooring	73.152	47.9263	-65.3101	OTN-Global
CB19-2016	ASF	Underwater mooring	68.58	47.9327	-65.316	OTN-Global
CB20-2016	ASF	Underwater mooring	65.532	47.9393	-65.3219	OTN-Global
CB21-2016	ASF	Underwater mooring	60.96	47.9457	-65.3278	OTN-Global
CB2-2016	ASF	Underwater mooring	30.48	47.8236	-65.216	OTN-Global
CB22-2016	ASF	Underwater mooring	57.912	47.9521	-65.3338	OTN-Global
CB23-2016	ASF	Underwater mooring	51.816	47.9586	-65.3397	OTN-Global
CB24-2016	ASF	Underwater mooring	45.72	47.9649	-65.3456	OTN-Global
CB25-2016	ASF	Underwater mooring	45.72	47.9714	-65.3516	OTN-Global
CB26-2016	ASF	Underwater mooring	39.624	47.9778	-65.3575	OTN-Global
CB27-2016	ASF	Underwater mooring	30.48	47.9842	-65.3634	OTN-Global
CB28-2016	ASF	Underwater mooring	18.288	47.9906	-65.369	OTN-Global
ASF-Chaleur Bay 10-2004	ASF	Underwater mooring	135.3	47.9025	-65.2102	OTN-Global
ASF-Chaleur Bay 11-2004	ASF	Underwater mooring	135.3	47.9112	-65.2132	OTN-Global
CB3-2016	ASF	Underwater mooring	36.576	47.8299	-65.2217	OTN-Global
CB4-2016	ASF	Underwater mooring	39.624	47.8363	-65.2275	OTN-Global
CB5-2016	ASF	Underwater mooring	48.768	47.8429	-65.2334	OTN-Global
CB6-2016	ASF	Underwater mooring	57.912	47.8494	-65.2394	OTN-Global
CB7-2016	ASF	Underwater mooring	67.056	47.8556	-65.2452	OTN-Global
CB8-2016	ASF	Underwater mooring	70.104	47.8621	-65.2511	OTN-Global
CB9-2016	ASF	Underwater mooring	65.532	47.8685	-65.257	OTN-Global
Chatham-2016	ASF	Underwater mooring	6.3	47.0211	-65.4954	OTN-Global
DAL 1-2016	ASF	Underwater mooring	10	48.0635	-66.3468	OTN-Global
DAL 2-2016	ASF	Underwater mooring	20	48.0695	-66.3388	OTN-Global
DAL 3-2016	ASF	Underwater mooring	12	48.0746	-66.3322	OTN-Global
DALJ 1-2016	ASF	Underwater mooring	9	48.0441	-66.5358	OTN-Global
French Fort Cove-2016	ASF	Underwater mooring	7.5	47.015	-65.5433	OTN-Global
Hacketts Beach-2016	ASF	Underwater mooring	7	46.9576	-65.6726	OTN-Global
Huckleberry 1-2016	ASF	Underwater mooring	1	47.0772	-64.9534	OTN-Global
Huckleberry 2-2016	ASF	Underwater mooring	1	47.0777	-64.9511	OTN-Global
Johnson Bridge-2016	ASF	Underwater mooring	135.3	46.9634	-65.8264	OTN-Global
Kingston Lane-2016	ASF	Underwater mooring	135.3	47.0828	-65.8264	OTN-Global
Loggieville-2016	ASF	Underwater mooring	9.5	47.0773	-65.3925	OTN-Global
Loggieville 2-2016	ASF	Underwater mooring	135.3	47.0746	-65.3899	OTN-Global
Loggieville B-2016	ASF	Underwater mooring	9.5	47.0773	-65.3925	OTN-Global
Mann Mtn 1-2016	ASF	Underwater mooring	135.3	47.962	-66.9437	OTN-Global
Mann Mtn 2-2016	ASF	Underwater mooring	135.3	47.962	-66.9437	OTN-Global
Middle Island-2016	ASF	Underwater mooring	10	47.0553	-65.4557	OTN-Global
Millerton-2016	ASF	Underwater mooring	4	46.8763	-65.664	OTN-Global
Millstream-2016	ASF	Underwater mooring	4.3	46.9651	-65.7088	OTN-Global
Miners Bridge-2016	ASF	Underwater mooring	135.3	47.1929	-65.8802	OTN-Global
Neguac 2-2016	ASF	Underwater mooring	3	47.2063	-65.0381	OTN-Global
Neguac 3-2016	ASF	Underwater mooring	2	47.2059	-65.0463	OTN-Global
ASF-2014 Dal Junction 2	ASF	Underwater mooring	9	48.0516	-66.54	OTN-Global
ASF-2014 Doyle's	ASF	Underwater mooring	135.3	46.8438	-65.7323	OTN-Global
ASF-2014 REST 1	ASF	Underwater mooring	2.1	48.0029	-66.6978	OTN-Global
ASF-2014 REST 2	ASF	Underwater mooring	2.1	48.005	-66.6981	OTN-Global
ASF-2014 REST 3	ASF	Underwater mooring	2.7	48.0067	-66.6984	OTN-Global
ASF-2014 REST 4	ASF	Underwater mooring	6.1	48.0105	-66.6755	OTN-Global
ASF-2014 REST 5	ASF	Underwater mooring	5.5	48.0117	-66.6766	OTN-Global
ASF-2014 REST 6	ASF	Underwater mooring	3.7	48.0132	-66.6779	OTN-Global
ASF-2014 Barnaby Island	ASF	Underwater mooring	4	46.9109	-65.6221	OTN-Global
ASF-2014 Dal Junction 1	ASF	Underwater mooring	9	48.0446	-66.5363	OTN-Global
ASF-Barnaby Island-2004	ASF	Underwater mooring	135.3	46.9113	-65.6219	OTN-Global
ASF-Beaubear Island 1-2003	ASF	Underwater mooring	135.3	46.7667	-66.0833	OTN-Global
ASF-Beaubear Island 2-2003	ASF	Underwater mooring	135.3	46.7667	-66.0833	OTN-Global
ASF-Beaubear Island 3-2003	ASF	Underwater mooring	135.3	46.7667	-66.0833	OTN-Global
ASF-Beaubear Island 4-2003	ASF	Underwater mooring	135.3	46.7667	-66.0833	OTN-Global
ASF-Beaubear Island 5-2003	ASF	Underwater mooring	135.3	46.7667	-66.0833	OTN-Global
ASF-Beaubear Island 6-2003	ASF	Underwater mooring	135.3	46.7667	-66.0833	OTN-Global
ASF-Beaubear Island 7-2003	ASF	Underwater mooring	135.3	46.7667	-66.0833	OTN-Global
