transmitter_id,transmitter_codespace,detection_transmittername
18043,A69-1303,A69-1303-18043
18046,A69-1303,A69-1303-18046
18072,A69-1303,A69-1303-18072
18085,A69-1303,A69-1303-18085
18086,A69-1303,A69-1303-18086
18093,A69-1303,A69-1303-18093
18098,A69-1303,A69-1303-18098
18063,A69-1303,A69-1303-18063
18120,A69-1303,A69-1303-18120
18151,A69-1303,A69-1303-18151
18133,A69-1303,A69-1303-18133
18051,A69-1303,A69-1303-18051
18062,A69-1303,A69-1303-18062
18080,A69-1303,A69-1303-18080
18069,A69-1303,A69-1303-18069
18084,A69-1303,A69-1303-18084
18114,A69-1303,A69-1303-18114
18136,A69-1303,A69-1303-18136
18148,A69-1303,A69-1303-18148
18103,A69-1303,A69-1303-18103
18149,A69-1303,A69-1303-18149
18073,A69-1303,A69-1303-18073
18126,A69-1303,A69-1303-18126
18140,A69-1303,A69-1303-18140
18100,A69-1303,A69-1303-18100
18111,A69-1303,A69-1303-18111
18118,A69-1303,A69-1303-18118
18152,A69-1303,A69-1303-18152
18056,A69-1303,A69-1303-18056
18067,A69-1303,A69-1303-18067
18088,A69-1303,A69-1303-18088
18036,A69-1303,A69-1303-18036
18096,A69-1303,A69-1303-18096
18116,A69-1303,A69-1303-18116
18121,A69-1303,A69-1303-18121
18122,A69-1303,A69-1303-18122
18134,A69-1303,A69-1303-18134
18154,A69-1303,A69-1303-18154
18129,A69-1303,A69-1303-18129
18145,A69-1303,A69-1303-18145
18128,A69-1303,A69-1303-18128
18068,A69-1303,A69-1303-18068
18054,A69-1303,A69-1303-18054
18076,A69-1303,A69-1303-18076
18119,A69-1303,A69-1303-18119
18053,A69-1303,A69-1303-18053
18047,A69-1303,A69-1303-18047
18109,A69-1303,A69-1303-18109
18108,A69-1303,A69-1303-18108
18057,A69-1303,A69-1303-18057
18112,A69-1303,A69-1303-18112
18041,A69-1303,A69-1303-18041
18048,A69-1303,A69-1303-18048
18058,A69-1303,A69-1303-18058
18050,A69-1303,A69-1303-18050
18060,A69-1303,A69-1303-18060
18066,A69-1303,A69-1303-18066
18059,A69-1303,A69-1303-18059
18065,A69-1303,A69-1303-18065
18132,A69-1303,A69-1303-18132
18125,A69-1303,A69-1303-18125
18127,A69-1303,A69-1303-18127
18138,A69-1303,A69-1303-18138
18038,A69-1303,A69-1303-18038
18089,A69-1303,A69-1303-18089
18077,A69-1303,A69-1303-18077
18104,A69-1303,A69-1303-18104
18130,A69-1303,A69-1303-18130
18082,A69-1303,A69-1303-18082
18101,A69-1303,A69-1303-18101
18083,A69-1303,A69-1303-18083
18052,A69-1303,A69-1303-18052
18106,A69-1303,A69-1303-18106
18070,A69-1303,A69-1303-18070
18142,A69-1303,A69-1303-18142
18146,A69-1303,A69-1303-18146
18044,A69-1303,A69-1303-18044
18147,A69-1303,A69-1303-18147
18135,A69-1303,A69-1303-18135
18113,A69-1303,A69-1303-18113
18094,A69-1303,A69-1303-18094
18117,A69-1303,A69-1303-18117
18049,A69-1303,A69-1303-18049
18131,A69-1303,A69-1303-18131
18033,A69-1303,A69-1303-18033
18074,A69-1303,A69-1303-18074
19475,A69-1303,A69-1303-19475
19477,A69-1303,A69-1303-19477
1507,A69-1204,A69-1204-1507
1526,A69-1204,A69-1204-1526
1541,A69-1204,A69-1204-1541
1544,A69-1204,A69-1204-1544
1549,A69-1204,A69-1204-1549
1558,A69-1204,A69-1204-1558
1563,A69-1204,A69-1204-1563
1566,A69-1204,A69-1204-1566
1581,A69-1204,A69-1204-1581
1586,A69-1204,A69-1204-1586
1590,A69-1204,A69-1204-1590
1603,A69-1204,A69-1204-1603
3795,A69-1204,A69-1204-3795
3804,A69-1204,A69-1204-3804
3806,A69-1204,A69-1204-3806
3807,A69-1204,A69-1204-3807
3814,A69-1204,A69-1204-3814
3815,A69-1204,A69-1204-3815
3818,A69-1204,A69-1204-3818
3828,A69-1204,A69-1204-3828
3833,A69-1204,A69-1204-3833
3849,A69-1204,A69-1204-3849
3851,A69-1204,A69-1204-3851
3859,A69-1204,A69-1204-3859
3872,A69-1204,A69-1204-3872
3884,A69-1204,A69-1204-3884
3887,A69-1204,A69-1204-3887
18160,A69-1303,A69-1303-18160
18161,A69-1303,A69-1303-18161
18162,A69-1303,A69-1303-18162
18163,A69-1303,A69-1303-18163
18168,A69-1303,A69-1303-18168
18170,A69-1303,A69-1303-18170
18171,A69-1303,A69-1303-18171
19448,A69-1303,A69-1303-19448
19450,A69-1303,A69-1303-19450
19473,A69-1303,A69-1303-19473
19497,A69-1303,A69-1303-19497
19514,A69-1303,A69-1303-19514
19516,A69-1303,A69-1303-19516
1553,A69-1204,A69-1204-1553
1557,A69-1204,A69-1204-1557
19478,A69-1303,A69-1303-19478
1508,A69-1204,A69-1204-1508
1511,A69-1204,A69-1204-1511
1514,A69-1204,A69-1204-1514
1529,A69-1204,A69-1204-1529
1575,A69-1204,A69-1204-1575
1596,A69-1204,A69-1204-1596
3817,A69-1204,A69-1204-3817
3867,A69-1204,A69-1204-3867
18156,A69-1303,A69-1303-18156
18173,A69-1303,A69-1303-18173
19490,A69-1303,A69-1303-19490
3855,A69-1204,A69-1204-3855
3870,A69-1204,A69-1204-3870
1536,A69-1204,A69-1204-1536
1578,A69-1204,A69-1204-1578
3831,A69-1204,A69-1204-3831
3852,A69-1204,A69-1204-3852
3860,A69-1204,A69-1204-3860
1517,A69-1204,A69-1204-1517
1546,A69-1204,A69-1204-1546
3819,A69-1204,A69-1204-3819
3864,A69-1204,A69-1204-3864
3886,A69-1204,A69-1204-3886
19507,A69-1303,A69-1303-19507
19483,A69-1303,A69-1303-19483
3840,A69-1204,A69-1204-3840
3874,A69-1204,A69-1204-3874
18155,A69-1303,A69-1303-18155
3832,A69-1204,A69-1204-3832
19526,A69-1303,A69-1303-19526
1601,A69-1204,A69-1204-1601
19480,A69-1303,A69-1303-19480
2581,A69-1602,A69-1602-2581
2554,A69-1602,A69-1602-2554
2570,A69-1602,A69-1602-2570
2576,A69-1602,A69-1602-2576
2513,A69-1602,A69-1602-2513
2566,A69-1602,A69-1602-2566
2544,A69-1602,A69-1602-2544
2522,A69-1602,A69-1602-2522
2553,A69-1602,A69-1602-2553
2551,A69-1602,A69-1602-2551
2536,A69-1602,A69-1602-2536
2557,A69-1602,A69-1602-2557
2524,A69-1602,A69-1602-2524
2516,A69-1602,A69-1602-2516
2540,A69-1602,A69-1602-2540
2550,A69-1602,A69-1602-2550
2568,A69-1602,A69-1602-2568
56365,A69-1303,A69-1303-56365
33614,A69-1303,A69-1303-33614
33752,A69-1303,A69-1303-33752
33592,A69-1303,A69-1303-33592
33646,A69-1303,A69-1303-33646
63833,A69-1303,A69-1303-63833
63836,A69-1303,A69-1303-63836
42402,A180-1702,A180-1702-42402
42392,A180-1702,A180-1702-42392
42393,A180-1702,A180-1702-42393
42394,A180-1702,A180-1702-42394
42398,A180-1702,A180-1702-42398
42400,A180-1702,A180-1702-42400
42403,A180-1702,A180-1702-42403
42404,A180-1702,A180-1702-42404
42406,A180-1702,A180-1702-42406
42409,A180-1702,A180-1702-42409
42416,A180-1702,A180-1702-42416
42417,A180-1702,A180-1702-42417
42425,A180-1702,A180-1702-42425
42426,A180-1702,A180-1702-42426
42427,A180-1702,A180-1702-42427
42429,A180-1702,A180-1702-42429
42431,A180-1702,A180-1702-42431
42433,A180-1702,A180-1702-42433
42434,A180-1702,A180-1702-42434
42435,A180-1702,A180-1702-42435
42436,A180-1702,A180-1702-42436
42437,A180-1702,A180-1702-42437
42438,A180-1702,A180-1702-42438
42439,A180-1702,A180-1702-42439
42424,A180-1702,A180-1702-42424
42421,A180-1702,A180-1702-42421
34293,A69-1601,A69-1601-34293
34296,A69-1601,A69-1601-34296
34277,A69-1601,A69-1601-34277
34289,A69-1601,A69-1601-34289
34291,A69-1601,A69-1601-34291
34295,A69-1601,A69-1601-34295
34299,A69-1601,A69-1601-34299
34300,A69-1601,A69-1601-34300
34303,A69-1601,A69-1601-34303
34304,A69-1601,A69-1601-34304
34305,A69-1601,A69-1601-34305
34311,A69-1601,A69-1601-34311
34314,A69-1601,A69-1601-34314
34294,A69-1601,A69-1601-34294
35460,A180-1702,A180-1702-35460
34282,A69-1601,A69-1601-34282
34273,A69-1601,A69-1601-34273
35435,A180-1702,A180-1702-35435
35444,A180-1702,A180-1702-35444
35456,A180-1702,A180-1702-35456
35457,A180-1702,A180-1702-35457
35465,A180-1702,A180-1702-35465
35468,A180-1702,A180-1702-35468
35472,A180-1702,A180-1702-35472
34274,A69-1601,A69-1601-34274
34275,A69-1601,A69-1601-34275
34276,A69-1601,A69-1601-34276
34280,A69-1601,A69-1601-34280
34283,A69-1601,A69-1601-34283
34284,A69-1601,A69-1601-34284
34285,A69-1601,A69-1601-34285
34286,A69-1601,A69-1601-34286
34290,A69-1601,A69-1601-34290
34292,A69-1601,A69-1601-34292
34297,A69-1601,A69-1601-34297
34298,A69-1601,A69-1601-34298
34302,A69-1601,A69-1601-34302
34306,A69-1601,A69-1601-34306
34307,A69-1601,A69-1601-34307
34308,A69-1601,A69-1601-34308
34309,A69-1601,A69-1601-34309
34310,A69-1601,A69-1601-34310
34312,A69-1601,A69-1601-34312
34313,A69-1601,A69-1601-34313
34315,A69-1601,A69-1601-34315
34316,A69-1601,A69-1601-34316
34318,A69-1601,A69-1601-34318
34319,A69-1601,A69-1601-34319
34320,A69-1601,A69-1601-34320
34321,A69-1601,A69-1601-34321
35469,A180-1702,A180-1702-35469
35433,A180-1702,A180-1702-35433
35434,A180-1702,A180-1702-35434
35436,A180-1702,A180-1702-35436
35443,A180-1702,A180-1702-35443
35446,A180-1702,A180-1702-35446
35450,A180-1702,A180-1702-35450
35451,A180-1702,A180-1702-35451
35454,A180-1702,A180-1702-35454
35458,A180-1702,A180-1702-35458
35459,A180-1702,A180-1702-35459
35463,A180-1702,A180-1702-35463
35467,A180-1702,A180-1702-35467
35470,A180-1702,A180-1702-35470
35475,A180-1702,A180-1702-35475
35478,A180-1702,A180-1702-35478
35479,A180-1702,A180-1702-35479
22704,A69-1303,A69-1303-22704
22773,A69-1303,A69-1303-22773
23276,A69-1303,A69-1303-23276
23278,A69-1303,A69-1303-23278
19530,A69-1303,A69-1303-19530
22757,A69-1303,A69-1303-22757
19540,A69-1303,A69-1303-19540
22779,A69-1303,A69-1303-22779
22804,A69-1303,A69-1303-22804
22755,A69-1303,A69-1303-22755
22778,A69-1303,A69-1303-22778
22796,A69-1303,A69-1303-22796
22774,A69-1303,A69-1303-22774
22799,A69-1303,A69-1303-22799
22824,A69-1303,A69-1303-22824
22741,A69-1303,A69-1303-22741
22680,A69-1303,A69-1303-22680
19538,A69-1303,A69-1303-19538
22823,A69-1303,A69-1303-22823
22787,A69-1303,A69-1303-22787
22763,A69-1303,A69-1303-22763
22767,A69-1303,A69-1303-22767
22808,A69-1303,A69-1303-22808
22813,A69-1303,A69-1303-22813
23281,A69-1303,A69-1303-23281
19529,A69-1303,A69-1303-19529
19539,A69-1303,A69-1303-19539
22655,A69-1303,A69-1303-22655
19531,A69-1303,A69-1303-19531
19537,A69-1303,A69-1303-19537
22725,A69-1303,A69-1303-22725
22758,A69-1303,A69-1303-22758
22770,A69-1303,A69-1303-22770
22790,A69-1303,A69-1303-22790
22678,A69-1303,A69-1303-22678
22651,A69-1303,A69-1303-22651
22809,A69-1303,A69-1303-22809
22714,A69-1303,A69-1303-22714
22750,A69-1303,A69-1303-22750
22766,A69-1303,A69-1303-22766
22786,A69-1303,A69-1303-22786
22679,A69-1303,A69-1303-22679
19532,A69-1303,A69-1303-19532
23280,A69-1303,A69-1303-23280
22726,A69-1303,A69-1303-22726
22702,A69-1303,A69-1303-22702
22812,A69-1303,A69-1303-22812
22689,A69-1303,A69-1303-22689
22661,A69-1303,A69-1303-22661
22775,A69-1303,A69-1303-22775
22810,A69-1303,A69-1303-22810
22706,A69-1303,A69-1303-22706
22791,A69-1303,A69-1303-22791
